AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d,
Anchor Capital Advisors LLC,,RBC,N/A,Consulting Solutions,Mid Cap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Mid Cap,927,163.51,1.41,1.68,-0.27,,168.22,1.61,1.45,0.16,--,167.64,2.2,3.07,-0.87,--,171.18,0.216,1.4,-1.184,--,175.35,18.31,21.8,-3.49,--,178.21,6.8,4.18,2.62,--,170.49,2.73,0.782,1.948,,179.87,7.5,3.87,3.63,--,175.02,1.99,6.11,-4.12,--,
Anchor Capital Advisors LLC,Placemark,RBC,N/A,Placemark,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,1,1.19,0,0,0,--,1.09,0.102,0,0.102,--,1.2,0,0,0,--,1.2,0,0,0,--,1.22,0,0,0,--,1.24,0,0,0,--,1.28,0,0,0,,1.37,0,0,0,--,1.33,0,0,0,--,
Anchor Capital Advisors LLC,Placemark,RBC,N/A,Placemark,Mid Cap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Mid Cap,1,65.08,4.38,0.856,3.524,--,67.34,1.36,1.06,0.3,--,67.15,0.34,0.96,-0.62,--,70.98,2.84,0.851,1.989,--,73.41,2.11,3.07,-0.96,--,70.68,1.16,4.63,-3.47,--,71.03,0.759,1.16,-0.401,,73.34,1.08,0.35,0.73,--,73.06,1.86,0.835,1.025,--,
Anchor Capital Advisors LLC,,Stifel,N/A,Model Based Program,All Cap,F00000JVJ0,Model-Delivered,Large Value,N/A,All Cap,33,0.74,0.51,0,0.51,--,1.17,0.262,0,0.262,--,2.61,1.33,0,1.33,,3.52,1.14,0.283,0.857,--,4.56,0.92,0,0.92,--,4.68,0.806,0.719,0.087,--,5.71,0.993,0.134,0.859,,7.44,1.4,0.108,1.292,--,6.63,0.661,1.34,-0.679,--,
Anchor Capital Advisors LLC,,Stifel,N/A,Model Based Program,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,207,40.63,0.97,2.16,-1.19,--,41.25,0.716,1.73,-1.014,--,45.46,3.33,0,3.33,--,47.05,2.88,1.37,1.51,--,47.88,1.57,0.189,1.381,--,46.02,0.208,2.34,-2.132,--,47.58,1.36,1.44,-0.08,,47.82,2.22,2.66,-0.44,--,47.95,1.35,0.641,0.709,--,
Anchor Capital Advisors LLC,,Stifel,N/A,Model Based Program,Midcap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Midcap,73,35.54,0,1.36,-1.36,--,33.55,0.213,0.21,0.003,--,36.03,1.3,0.182,1.118,--,30.86,0.717,5.37,-4.653,--,32.28,0.511,0.283,0.228,--,36.53,4.004,0,4.004,--,36.31,0.323,1.29,-0.967,,37.16,0,0.198,-0.198,--,36.34,0.143,0.145,-0.002,--,
Anchor Capital Advisors LLC,,Stifel,N/A,Model Based Program,Small Cap,F00000JVRH,Model-Delivered,Small Blend,N/A,Small Cap,22,2.63,0,0,0,--,2.68,0.207,0,0.207,--,0.336,0,0.282,-0.282,--,2.9,0.191,0.183,0.008,--,3.13,0.25,0,0.25,--,3.44,0.415,0.121,0.294,--,3.2,0.089,0.399,-0.31,,3.23,0.102,0,0.102,--,3.34,0.153,0,0.153,--,
Anchor Capital Advisors LLC,Sowell,Sowell,N/A,UMA Program,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,--,
Anchor Capital Advisors LLC,,UBS,N/A,Access,Balanced,F00000J8TH,Traditional,Allocation,N/A,Balanced,713,187.28,0,5.81,-5.81,--,196.89,8.72,7.36,1.36,--,196.08,13.06,18.29,-5.23,--,205.22,16.56,7.5,9.06,--,214.98,12.89,10.85,2.04,--,211.8,5.001,8.1,-3.099,--,214.79,1.77,6,-4.23,,205.84,4.29,16.45,-12.16,--,197.76,6.47,8.12,-1.65,--,
Anchor Capital Advisors LLC,,UBS,N/A,Access,Mid Cap,F00000JVJ1,Traditional,Mid-Cap Value,N/A,Mid Cap,1655,648.31,3.09,18.03,-14.94,--,666.78,12.03,14.14,-2.11,--,663.35,4.16,11.33,-7.17,--,691.37,7.92,4.9,3.02,--,716.31,9.16,16.24,-7.08,--,692.37,5.46,29.5,-24.04,--,688.43,5.21,15.56,-10.35,,688.72,6.43,21.1,-14.67,--,667.09,2.95,12.28,-9.33,--,
Anchor Capital Advisors LLC,,UBS,N/A,Access,Focused Value,F00000Q3ZF,Traditional,Mid-Cap Value,N/A,Focused Value,36,0.168,0,0,0,--,0.276,0.1,0,0.1,--,1.54,0.865,0,0.865,--,2.77,0.884,0,0.884,--,4.3,1.39,0,1.39,--,7.25,2.26,0.115,2.145,--,8.75,1.28,0,1.28,,10.84,2.36,0.224,2.136,--,10.35,0,0.12,-0.12,--,
Anchor Capital Advisors LLC,,UBS,N/A,SWP,Balanced,F00000J8TH,UMA-Traded by Anchor,Allocation,N/A,Balanced,0,--,0,0,0,--,0,0,0,0,--,0,0,0,0,--,0,0,0,0,--,0,0,0,0,--,--,0,0,0,--,0,0,0,0,,0,0,0,0,--,0,0,0,0,--,
Anchor Capital Advisors LLC,,UBS,N/A,SWP,Mid Cap,F00000JVJ1,UMA-Traded by Anchor,Mid-Cap Value,N/A,Mid Cap,396,108.08,0.659,3.93,-3.271,--,110.63,0.92,2.6,-1.68,--,101.09,3.88,12.04,-8.16,--,108.95,4.96,2.07,2.89,--,102.9,1.7,2.26,-0.56,--,110.12,0.636,2.57,-1.934,--,110.54,1.61,1.81,-0.2,,115.3,3.01,2.96,0.05,--,117.39,1.76,1.79,-0.03,--,
Anchor Capital Advisors LLC,,UBS,N/A,SWP,Focused Value,F00000Q3ZF,UMA-Traded by Anchor,Mid-Cap Value,N/A,Focused Value,16,0.417,0,0,0,--,0.604,0.174,0,0.174,--,1.01,0.32,0,0.32,--,1.45,0.382,0,0.382,--,1.61,0.102,0,0.102,--,1.78,0.211,0,0.211,--,1.83,0.139,0.099,0.04,,2.52,0.558,0,0.558,--,2.78,0.328,0.13,0.198,--,
