AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d
,Natixis,Natixis,N/A,Natixis UMA Program,SMID,F00000ML4H,Model-Delivered,Small Blend,N/A,SMID,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Natixis,Natixis,N/A,Natixis UMA Program,Select Dividend,F00000XS3J,Model-Delivered,Large Value,N/A,Select Dividend,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Janney,N/A,Money Management Services,All Cap,F00000JVJ0,Model-Delivered,Large Value,N/A,All Cap,103,19.16,0.38,0.66,-0.28,--,19.59,0.525,0.913,-0.388,--,26.37,6.07,0,6.07,--,28.98,1.77,1.21,0.56,--,31.69,1.81,0.256,1.554,--,33.7,2.29,0.706,1.584,--,35.63,0.744,0,0.744,,37.17,0.965,0.575,0.39,--,35.14,0.267,0,0.267,--
,,Janney,N/A,Money Management Services,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,385,39.87,2.35,0.192,2.158,--,44.28,3.5,1.02,2.48,--,58,14.4,1.54,12.86,--,66.16,11.9,3.899,8.001,--,78.79,12.06,1.48,10.58,--,83.55,5.64,1.52,4.12,--,92.19,9.37,2.38,6.99,,91.7,5.93,7.73,-1.8,--,92.42,9.26,6.14,3.12,--
,,Janney,N/A,Money Management Services,Focused Value,F00000Q3ZF,Model-Delivered,Mid-Cap Value,N/A,Focused Value,5,1,0,1.05,-1.05,--,1.01,0,0,0,--,1.15,0,0,0,--,1.26,0,0,0,--,1.57,0.245,0,0.245,--,1.13,0,0.424,-0.424,--,1.04,0,0.107,-0.107,,1.04,0,0,0,--,0.956,0,0,0,--
,,Janney,N/A,Money Management Services,Mid Cap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Mid Cap,167,60.64,0.429,0.661,-0.232,--,58.89,0.45,3.67,-3.22,--,63.73,4.77,1.14,3.63,--,65.01,2.67,3.54,-0.87,--,68.46,0.973,0.316,0.657,--,69.71,1.34,0.959,0.381,--,71.14,1.47,1,0.47,,73.06,1.29,1.38,-0.09,--,69.23,0.789,1.19,-0.401,--
,,Janney,N/A,Money Management Services,Small Cap,F00000JVRH,Model-Delivered,Small Blend,N/A,Small Cap,15,3.17,0,0,0,--,3.35,0.1,0,0.1,--,3.55,0.255,0.316,-0.061,--,3.95,0.409,0.49,-0.081,--,3.92,0,0,0,--,4.71,0.695,0,0.695,--,4.88,0,0,0,,4.62,0,0.108,-0.108,--,4.18,0,0,0,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Placemark,Janney,N/A,Placemark,Allcap,F00000JVJ0,Model-Delivered,Large Value,N/A,Allcap,62,14.1,0.37,0.45,-0.08,--,14.46,0.233,0.639,-0.406,--,14.23,0.334,0.558,-0.224,--,14.34,0.331,0.543,-0.212,--,14.47,0,0.247,-0.247,--,14.77,0.855,0.688,0.167,--,13.49,0.075,0.938,-0.863,,12.64,0,0.988,-0.988,--,11.68,0.332,0.753,-0.421,--
