AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d
,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,,0,0,0,0,--,0,0,0,0,--
,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,Focused Value,F00000Q3ZF,Model-Delivered,Mid-Cap Value,N/A,Focused Value,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,,0,0,0,0,--,0,0,0,,--
,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,Mid Cap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Mid Cap,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.19,0.184,0,0.184,,0.193,--,--,--,--,0.197,0,0,0,,0.195,0,0,0,--,193.67,0,0,,--
,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,All Cap,F00000JVJ0,Model-Delivered,Large Value,N/A,All Cap,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,,0,0,0,0,--,0,0,0,,--
,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,Small Cap,F00000JVRH,Model-Delivered,Small Blend,N/A,Small Cap,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,,0,0,0,0,--,0,0,0,,--
,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,REIT,F00000XX8J,Model-Delivered,Real Estate,N/A,REIT,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.008,--,--,--,--,0.00097,0,0,0,,0,0,0,0,--,0,0,0,,--
,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,SMID,F00000ML4H,Model-Delivered,Small Blend,N/A,SMID,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,,0,0,0,0,--,0,0,0,,--
,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,Select Dividend,F00000XS3J,Model-Delivered,Large Value,N/A,Select Dividend,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,,0,0,0,0,--,0,0,0,,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ameriprise ,N/A,Premier Portfolio Services,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,1315,233.55,5.89,14.67,,--,235.61,7.16,13.04,-5.88,--,258.07,23.36,9.25,14.11,--,275.77,23.23,7.77,15.46,--,294.19,17.92,6.5,11.42,--,300.18,9.72,8.77,0.95,--,300.82,5.11,10.94,-5.83,,293.52,7.009,47.67,-40.661,--,270.75,6.58,12.86,-6.28,--
,,Ameriprise ,N/A,Premier Portfolio Services,Mid Cap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Mid Cap,196,49.56,8.47,0.98,,--,49.31,1.7,2.93,-1.23,--,50.5,2.2,0.952,1.248,--,51.32,1.42,2.61,-1.19,--,53.08,1.34,2.65,-1.31,--,52.41,0.868,1.66,-0.792,--,51.28,0.404,1.4,-0.996,,50.64,0.303,8.22,-7.917,--,46.79,0.594,3.16,-2.566,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ed Jones,N/A,Advisory Solutions UMA,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,0,30.67,0,8.36,,--,29.98,0,2.56,-2.56,--,21.15,0,9.02,-9.02,--,17.33,0,3.66,-3.66,--,8.35,0,9.2,-9.2,--,3.57,0,4.8,-4.8,--,0,0,0,0,,0,0,0,0,--,0,0,0,0,--
,,Ed Jones,N/A,Advisory Solutions UMA,Mid Cap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Mid Cap,313,56.03,0,14.88,,--,45.24,0,12.43,-12.43,--,37.5,0,7.87,-7.87,--,31.4,0,7.19,-7.19,--,20.67,0,11.86,-11.86,,13.16,0,7.16,-7.16,--,39.26,0,0,0,,47.43,43.59,0.634,42.956,--,49.04,0.595,0.251,0.344,--
,,Ed Jones,N/A,Advisory Solutions UMA,All Cap,F00000JVJ0,Model-Delivered,Large Value,N/A,All Cap,288,35.64,0.1,5.75,,--,30.75,0,6.05,-6.05,--,20.4,0,7.84,-7.84,--,17.47,0,1.93,-1.93,--,11.73,0,6.27,-6.27,--,8.7,0,3.12,-3.12,--,43.05,0,0,0,,42.56,50.17,0.164,50.006,--,42.83,1.47,0.835,0.635,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Envestnet,Envestnet,N/A,Envestnet UMA Program,All Cap ,F00000JVJ0,Model-Delivered,Large Value,N/A,All Cap ,312,62.28,0,0,,--,64.47,0,0,0,--,65.69,0,0,0,--,72.14,0,0,0,--,77.68,0,0,0,--,81.07,0,0,0,--,85.94,0,0,0,,89.32,0,0,0,--,89.44,0,0,0,--
,Envestnet,Envestnet,N/A,Envestnet UMA Program,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,188,42.02,1.19,1.08,,--,48.08,4.34,0.61,3.73,--,49.9,1.34,0.971,-2.311,--,49.66,1.08,0.962,0.118,--,59.89,9.21,0.662,8.548,--,62.39,2.73,1.17,1.56,--,62.51,3.1,5.33,-2.23,,60.65,1.9,4.76,-2.86,--,54.39,0,4.98,-4.98,--
,Envestnet,Envestnet,N/A,Envestnet UMA Program,Focused Value,F00000Q3ZF,Model-Delivered,Mid-Cap Value,N/A,Focused Value,13,4.02,0,0,,--,4.09,0,0,0,--,4.7,0,0,0,--,6.73,0,0,0,--,7.03,0,0,0,--,5.73,0,0,0,--,6.12,0,0,0,,6.26,0,0,0,--,5.78,0,0,0,--
,Envestnet,Envestnet,N/A,Envestnet UMA Program,Midcap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Midcap,316,23.27,0,0,,--,73.07,0,0,0,--,78.73,0,0,0,--,88.86,0,0,0,--,93.3,0,0,0,--,97.68,0,0,0,--,108.54,0,0,0,,112.86,0,0,0,--,110.47,0,0,0,--
