AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d
Legg Mason,-,Janney Montgomery Scott,,Adviser Program,LM MDA 3 Balanced Tax Favored 60/40 SMA,-,Traditional,-,,Large Blend,0.014,1.45179995,0.00094251,-0.01205649,-0.01111398,0,1.77162657,0.54923959,-0.01363004,0.53560955,0,3.90876924,1.72525304,-0.00618142,1.71907162,0,3.91037938,0.00208126,-0.01824088,-0.01615962,0,4.63063285,0.60178896,-0.01027224,0.59151672,0,10.71336594,5.84688766,-0.81409832,5.03278934,0,10.41592086,0.43409251,-0.99190742,-0.55781491,0,10.15237214,0,-0.6038208,-0.6038208,0,9.64797488,0,-0.37404135,-0.37404135,0
Legg Mason,-,UBS Financial,,Managed Account Consulting (MAC) (Eligible),LM MDA 3 Balanced Tax Favored 60/40 SMA,-,Dual Contract,-,,Large Blend,0.002,3.49258877,0,-0.06730283,-0.06730283,0,3.56020245,0,-0.01316848,-0.01316848,0,3.63157369,0,-0.01356735,-0.01356735,0,3.64697433,0,-0.0138292,-0.0138292,0,3.74874502,0,-0.04360856,-0.04360856,0,3.82290047,0,-0.01416717,-0.01416717,0,3.8526339,0,-0.07457403,-0.07457403,0,3.9800256,0,-0.0147266,-0.0147266,0,3.86334894,0,-0.07485307,-0.07485307,0
Legg Mason,-,Janney Montgomery Scott,,Adviser Program,LM MDA 3 Balanced Tax Favored 70/30 SMA,-,Traditional,-,,Large Blend,0.002,0,0,0,0,0,0.53658544,0.53126583,0,0.53126583,0,0.54856946,0,-0.00186912,-0.00186912,0,0.80225019,0.24956298,-0.0026805,0.24688248,0,0.83239867,0.00084258,-0.00275124,-0.00190866,0,2.13156615,1.29508498,-0.00291064,1.29217434,0,2.18375159,0,-0.00682057,-0.00682057,0,2.26270101,0,-0.00755766,-0.00755766,0,1.66910096,0.04675013,-0.61386477,-0.56711464,0
Legg Mason,-,RBC Wealth Manangement,,Managed Account Program (MAP),LM MDA 3 Balanced Tax Favored 70/30 SMA,-,Dual Contract,-,,Large Blend,0.001,0.673919,0,-0.012,-0.012,0,0.248766,0,-0.012,-0.012,0,0.254646,0,0,0,0,0.251432,0,0,0,0,0.261461,0,0,0,0,0.265683,0,0,0,0,0.272476,0,0,0,0,0.282528,0,0,0,0,0.278768,0,0,0,0
Legg Mason,Charles Schwab,Charles Schwab,,Managed Account Marketplace,LM MDA 3 Balanced Tax Favored 70/30 SMA,-,Dual Contract,-,,Large Blend,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4003513,0.4,0,0.4,0,1.19804895,0.77886599,-0.00075681,0.77810918,0,1.22693127,0,-0.00149213,-0.00149213,0,0.84054929,0,-0.42249535,-0.42249535,0,0.82739021,0,-0.00104571,-0.00104571,0
Legg Mason,-,Janney Montgomery Scott,,Adviser Program,LM MDA 3 Balanced Taxable 60/40 SMA,-,Traditional,-,,Large Blend,0.01,0,0.27399972,-0.2735979,0.00040182,0,0.48199712,0.47699128,0,0.47699128,0,0.75179708,0.25583473,-0.00145084,0.25438389,0,1.5331751,0.78258698,-0.01258105,0.77000593,0,1.96290231,0.37437051,-0.0043176,0.37005291,0,5.17430795,2.84838008,-0.02605546,2.82232462,0,5.75138745,0.82830306,-0.01586027,0.81244279,0,5.89317935,0,-0.04792032,-0.04792032,0,5.79051358,0.001,-0.02602569,-0.02502569,0
Legg Mason,-,UBS Financial,,Managed Account Consulting (MAC) (Eligible),LM MDA 3 Balanced Taxable 60/40 SMA,-,Dual Contract,-,,Large Blend,0.013,6.39140002,0,-0.11819544,-0.11819544,0,6.44546811,0,-0.08504724,-0.08504724,0,5.78279781,0.015,-0.83537932,-0.82037932,0,5.7688775,0.0075,-0.08466951,-0.07716951,0,5.86028413,0.69974211,-0.81806655,-0.11832444,0,6.5612649,0.66640364,-0.09825286,0.56815078,0,6.88367586,0.24782049,-0.08848648,0.15933401,0,6.36331324,0.02082735,-0.76133439,-0.74050704,0,6.14243971,0.00200003,-0.1479456,-0.14594557,0
Legg Mason,-,Wells Fargo Advisors,,Private Advisor Network,LM MDA 3 Balanced Taxable 60/40 SMA,-,Dual Contract,-,,Large Blend,0.006,1.672096,0,-0.0245,-0.0245,0,1.67006,0.00163794,-0.02793235,-0.02629441,0,1.67288,0,-0.02793757,-0.02793757,0,1.637405,0,-0.02325,-0.02325,0,1.662194,0,-0.02136765,-0.02136765,0,1.659483,0,-0.01725,-0.01725,0,1.662813,0,-0.01625,-0.01625,0,1.64481,0,-0.01625,-0.01625,0,1.577318,0,-0.01725,-0.01725,0
Legg Mason,-,Charles Schwab,,Managed Account Access,LM MDA 3 SMA,LMMDA3,Traditional,-,,Large Blend ,0.001,1.71793645,1.2,-0.000645,1.199355,0,0.47894434,0,-1.26087341,-1.26087341,0,0.21425051,0,-0.27311425,-0.27311425,0,0.21957592,0,-0.00082618,-0.00082618,0,0.23163643,0,-0.000713,-0.000713,0,0.23676267,0,-0.000752,-0.000752,0,0.24484629,0,-0.000769,-0.000769,0,0.25753893,0,-0.000795,-0.000795,0,0.2521078,0,-0.000836,-0.000836,0
Legg Mason,-,D.A. Davidson,,Managed Account Consulting  (MAC),LM MDA 3 SMA,LMMDA3,Dual Contract,-,,Large Blend ,0.036,10.01926234,1.31006792,-0.73788345,0.57218447,0,10.45777077,0.26766814,-0.09023591,0.17743223,0,10.55957337,0.46705089,-0.78220662,-0.31515573,0,11.9058906,1.09800046,-0.07528345,1.02271701,0,13.76932987,1.41999908,-0.25483474,1.16516434,0,14.35961144,0.69603423,-0.47492007,0.22111416,0,14.84537254,0.03466421,-0.08250097,-0.04783676,0,15.58807196,0.0788625,-0.18261034,-0.10374784,0,15.25237881,0,-0.1022942,-0.1022942,0
