AssetManager,SmaStrategy,MorningstarStrategyId,MorningstarClass,MorningstarClassId,ManagerClass,InceptionDate,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018,1Q 2018      1-Year,1Q 2018         3-Year
Lazard Asset Management LLC,LCAS Global Diversified 75/25 Taxable,F00000LZ7H,World Allocation ,IH,Tactical Asset Allocation Balanced,05/02/05,-0.392648529,1.678253527,4.500828218,0.092924481,5.512747392,4.121535831,5.104769736,4.691360633,,13.81071923,6.629443988
Lazard Asset Management LLC,LCAS Global Equity,FOUSA0886K,World Large Stock ,WS,Tactical Asset Allocation Balanced,01/03/06,-0.1501,1.5344,5.5262,0.7656,6.1487,4.4471,5.3047,5.1979,,15.36623029,7.787446353
Lazard Asset Management LLC,LCAS Global Fixed Income Non-taxable,F00000LZA7,Allocation--15% to 30% Equity ,XY,Tactical Asset Allocation Balanced,04/01/09,1.535922674,2.049956276,1.860852816,-2.02339617,2.002928947,2.23093804,2.234109607,1.513512998,,4.706591843,2.718159391
Lazard Asset Management LLC,LCAS Global Fixed Income Taxable,F00000MUIU,Allocation--15% to 30% Equity ,XY,Tactical Asset Allocation Balanced,06/01/11,N/A,N/A,N/A,N/A,N/A,N/A,2.47857042,1.636408972,,N/A,N/A
Lazard Asset Management LLC,LCAS U.S. Centric 60/40 Taxable,F00000WB4C,Tactical Allocation ,TV,Tactical Asset Allocation Balanced,08/02/04,-0.024527488,2.055804838,3.501066273,0.722129167,4.202182775,3.509612379,4.315035086,4.210222153,,11.42941798,6.054601031
Lazard Asset Management LLC,U.S. Equity Concentrated - SMA,F00000ZHAV,Large Blend ,LB,Domestic Equity - All-Cap Core,08/01/03,1.608527189,1.359194968,8.054552077,-2.22615912,6.332167067,1.663048587,1.892390494,5.406845509,,9.76081453,9.793696316
Lazard Asset Management LLC,U.S. Equity Select - SMA,F00000LNC4,Large Growth ,LG,Domestic Equity - Large Core,10/01/93,-0.4073,2.9508,5.8388,2.1686,6.7435,1.9045,4.1304,4.7439,,10.42745221,9.202360592
Lazard Asset Management LLC,U.S. Equity Select (PCG),Not in M*,,LB,,,-1.22,3.42,5.08,2.43,5.44,2.85,4.7,4.9,,,
Lazard Asset Management LLC,U.S. Equity Ultra Concentrated,Not in M*,,LB,,,2.16,3.87,6.97,-2.04,9.62,2.77,1.17,3.79,,,
Lazard Asset Management LLC,U.S. Equity Value,FOUSA05Z5F,Large Value ,LV,Domestic Equity - Large Cap,10/01/01,1.772609869,2.069448979,4.964272961,6.62722346,3.977494108,1.050207963,3.988780309,7.534474277,,11.21984026,8.662652357
Lazard Asset Management LLC,U.S. Intermediate Core Fixed Income,FOUSA088J8,Short-Term Bond ,CS,(1) Domestic Taxable Bond - Core Bond (2) Domestic Taxable Bond - Intermediate Investment Grade (4-6),01/02/04,1.940062269,2.207622765,1.085044098,-1.557307634,0.875689435,1.097915159,0.81371507,0.074809689,,0.845243409,1.634264281
Lazard Asset Management LLC,U.S. Realty Equity,Not in M*,,SR,,,4.5,4.85,-0.44,-2.47,3.22,2.49,-0.6,3.76,,,
Lazard Asset Management LLC,U.S. Realty Equity Concentrated,Not in M*,,SR,,,3.34,5.81,0.54,-1.69,3.65,3.03,-0.37,4.29,,,
Lazard Asset Management LLC,U.S. Small Midcap Equity,FOUSA05Z89,Small Growth ,SG,Domestic Equity - Small Mid Core,05/01/00,0.450836205,0.123462024,6.049970514,10.01969386,1.551079098,3.208531257,4.442016304,5.037719551,,12.05200045,7.472007703
Lazard Asset Management LLC,U.S. Strategic Equity - SMA,FOUSA06M57,Large Blend ,LB,Domestic Equity - Large Core,03/02/98,0.879,0.7322,6.5205,2.5536,5.8693,2.1557,4.3559,5.4356,,13.15318546,8.389477449
Lazard Asset Management LLC,U.S. Tax-exempt,Not in M*,,MI,,,0.98,0.97,-0.21,-2.38,1.1,1.25,0.61,-0.54,,,
Lazard Asset Management LLC,VOLT 14,F00000XNDU,Tactical Allocation,TV,US Balanced/TAA,07/01/16,N/A,N/A,4.758426139,-3.871394335,7.263737476,3.928715058,3.853483756,5.495846455,,13.97033601,N/A
