AssetManager,SmaStrategy,MorningstarStrategyId,MorningstarClass,MorningstarClassId,ManagerClass,InceptionDate,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018,1Q 2018      1-Year,1Q 2018         3-Year
Renaissance Investment Management,Emerging Markets,F00000MKZR,Diversified Emerging Markets,EM,Emerging Markets,01/01/08,5.31,-0.78,7.96,-2.80,9.88,7.66,4.67,7.45,-0.66,20.28,6.79
Renaissance Investment Management,International Equity ADR,FOUSA09JZR,Foreign Large Blend,FB,International Equity ,07/01/94,-0.47,-2.9,7.2,-4.1,9.8,6.56,5.72,2.84,0.58,16.53,6.36
Renaissance Investment Management,International Equity Small Cap ,F00000MKZS,Foreign Small/Mid Value,FA,International Equity Small Cap,11/01/05,1.04,-4.43,7.35,2.04,7.5,5.36,9.09,5.24,-0.9,19.87,8.66
Renaissance Investment Management,Large Cap Growth ,FOUSA09JZS,Large Growth ,LG,Large Cap Growth,01/01/91,0.15,-1.91,4.9,5.68,8.03,1.85,4.52,7.36,-1,13.15,9.26
Renaissance Investment Management,Midcap Growth ,FOUSA09JZJ,Mid-Cap Growth ,MG,Midcap Growth,01/01/00,0.71,-1.76,5.21,4.74,6.01,1.39,3.26,6.98,-0.02,11.99,7.4
Renaissance Investment Management,REIT,F00000P089,Real Estate,SR,REITS,01/01/05,4.26,6.21,-1.83,-0.94,1.28,0.45,2.02,-2.56,-7.39,-7.53,-0.65
Renaissance Investment Management,Small Cap Growth ,F00000NP6M,Small Cap Growth ,SG,Small Cap Growth ,01/01/96,-0.14,2.13,6.82,3.95,6.11,8.28,5.41,6.14,0.98,22.33,11.42
