"	FlowDate		SponsorFirm	SponsorFirmId	SmaStrategy		SmaProductType	SmaProductTypeCode		MorningstarStrategyId		Assets",,,
"X104	Q1-2018                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	0.4149",
"X104	Q1-2018                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	11.0089",
"X104	Q2-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	R	0",
"X104	Q2-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	7.1227",
"X104	Q2-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	S	0.0002",
"X104	Q2-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	R	-0.005",
"X104	Q2-2018                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	S	0.1338",
"X104	Q2-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	R	-0.04",
"X104	Q2-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	0.398",
"X104	Q2-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	10.2921",
"X104	Q3-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	8.8802",
"X104	Q3-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	S	1.0603",
"X104	Q3-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	R	-0.025",
"X104	Q2-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	1.2941",
"X104	Q3-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	10.5746",
"X104	Q4-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	S	0.534",
"X104	Q4-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	R	-0.0003",
"X104	Q3-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	0.7343",
"X104	Q4-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	10.9444",
"X104	Q3-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	0.4085",
"X104	Q4-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	0.7375",
"X104	Q4-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	9.4496",
"X104	Q4-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	R	-0.019",
"X104	Q4-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	0.4227",
"X104	Q1-2016                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	1.6301",
"X104	Q1-2017                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	1.713",
"X104	Q1-2018                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	1.3813",
"X104	Q2-2016                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	1.6351",
"X104	Q3-2016                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	R	-0.015",
"X104	Q3-2016                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	S	0.0024",
"X104	Q2-2017                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	1.7533",
"X104	Q3-2016                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	1.653",
"X104	Q3-2017                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	R	-0.0115",
