AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmCode,SponsorFirmId,DoverSponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,SmaProductTypeCode,MorningstarClass,MorningstarClassId,Mstar classification_name,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d,2Q 2018 a,2Q 2018 g,2Q 2018 r,2Q 2018 n,2Q 2018 d
Lord Abbett & Co LLC,Morgan Stanley Wealth Management,Merrill Lynch,MSWM,149777,149777,Morgan Stanley/Fiduciary Services/Convertibles,Convertible,SAUSA002PT,Traditional,Trad,Convertibles,CV,Taxable Fixed Income,1,152052.14,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A
Lord Abbett & Co LLC,Morgan Stanley Wealth Management,Morgan Stanley Wealth Management,MSWM,149777,149777,Morgan Stanley/Fiduciary Services/Convertibles,Convertible,SAUSA002PT,Traditional,Trad,Convertibles,CV,Taxable Fixed Income,792,182407639.6,0.8,-11.7,-10.9,N/A,170713658.3,0.4,-12.3,-11.9,N/A,169297360.2,0.4,-8.3,-8,N/A,87095.35,0.4,-17.2,-16.8,N/A,,,,,N/A,,,,,N/A,232453.64,0.3,0,0.3,N/A,,,,,N/A,1075810,1.1,0,1.1,N/A,1756449.33,0.7,0,0.7,N/A
Lord Abbett & Co LLC,Morgan Stanley Wealth Management,Morgan Stanley Wealth Management,MSWM,149777,149777,Morgan Stanley/Select UMA/Convertibles,Convertible,SAUSA002PT,Traditional,Trad,Convertibles,CV,Taxable Fixed Income,810,5609250.89,2.2,-0.1,2.1,N/A,11379637.9,4.1,-0.4,3.7,N/A,18153094.56,1.1,-0.3,0.8,N/A,168047997.6,1.6,-5.2,-3.7,N/A,171881002.3,3.1,-7.9,-4.8,N/A,173657965.5,5.5,-6.7,-1.2,N/A,179617619.8,10.8,-5.3,5.5,N/A,190688418.1,5.2,-5.2,0,N/A,189527350,2.7,-6.5,-3.8,N/A,188764297.8,2.7,-7.3,-4.6,N/A
Lord Abbett & Co LLC,Morgan Stanley Wealth Management,Morgan Stanley Wealth Management,MSWM,149777,149777,Merrill Lynch/Consults/Government,Government,SAUSA025C,Traditional,Trad,Intermediate Gov,GI,Taxable Fixed Income,1,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,881953.85,2.8,0,2.8,N/A,,,,,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Managed Account Direct(DC)/Municipal 1-5 Year Ladder,Laddered Municipal,F00000IMK,Dual Contract,Dual,Muni National Short,MS,Tax Free Fixed Income,1,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,5897180.35,5.9,0,5.9,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.",Captrust Financial Advisors,Lockwood,169795,169795,Lockwood/Managed Account Direct(DC)/Intermediate Municipal,Intermediate Municipal,FOUSA08Z81,Dual Contract,Dual,Muni National Intermediate,MI,Tax Free Fixed Income,2,10095906.61,0,0,0,N/A,10319677.42,,,,N/A,10305231.95,0,0,0,N/A,9854312.96,,,,N/A,10031291.47,,,,N/A,10243276.19,,,,N/A,10329060.52,,,,N/A,10305993.64,,,,N/A,10137304.47,,,,N/A,10196374.86,,,,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Managed Account Command/Intermediate Municipal,Intermediate Municipal,FOUSA08Z81,Traditional,Trad,Muni National Intermediate,MI,Tax Free Fixed Income,1,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,509177.7,0.5,0,0.5,N/A,512121.95,0,0,0,N/A,513304.64,0,0,0,N/A,508139.4,0,0,0,N/A,469784.11,0,0,0,N/A,463733.84,0,0,0,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Managed Account Command/Intermediate Municipal,Intermediate Municipal,FOUSA08Z81,Traditional,Trad,Muni National Intermediate,MI,Tax Free Fixed Income,3,,,,,N/A,,,,,N/A,,,,,N/A,1016985.59,1.1,0,1.1,N/A,1027198.66,0,0,0,N/A,1054074.96,0,0,0,N/A,1058867.48,,,,N/A,1056040.64,,,,N/A,1231979.39,0.2,0,0.2,N/A,1238731.42,,,,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Managed Account Command/Intermediate Municipal,Intermediate Municipal,FOUSA08Z81,Traditional,Trad,Muni National Intermediate,MI,Tax Free Fixed Income,1,466041.02,,,,N/A,476072.99,0,0,0,N/A,475054.29,,,,N/A,451544.19,0,0,0,N/A,459016.03,0,0,0,N/A,468476.53,0,0,0,N/A,471026.01,,,,N/A,469088.67,,,,N/A,460270.34,,,,N/A,462078.16,,,,N/A
Lord Abbett & Co LLC,"Lockwood Financial Svcs., Inc.","Lockwood Financial Svcs., Inc.",Lockwood,169795,169795,Lockwood/Managed Account Command/Intermediate Municipal,Intermediate Municipal,FOUSA08Z81,Traditional,Trad,Muni National Intermediate,MI,Tax Free Fixed Income,1,817890.33,,,,N/A,831319.04,,,,N/A,831322.12,,,,N/A,789946.05,0,0,0,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A
