AssetManager,SmaStrategy,MorningstarStrategyId,MorningstarClass,MorningstarClassId,ManagerClass,InceptionDate,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018,1Q 2018      1-Year,1Q 2018         3-Year
Anchor Capital LLC,Balanced,F00000J8TH,Allocation--50-70% Equity,n/a,,01/01/05,2.22,4.04,2.19,0.25,2.96,1.8,2.86,2.84,-2.03,,
Anchor Capital LLC,Focused Value,F00000Q3ZF,Mid-Cap Value,n/a,,01/01/12,4.12,3.79,14.19,10.87,2.68,-1.2,3.34,1.32,-1.63,,
Anchor Capital LLC,Mid Cap,F00000JVJ1,Mid-Cap Value,n/a,,01/01/92,3.58,3.71,1.37,4.49,4.73,1.79,2.48,3.9,0.12,,
Anchor Capital LLC,All Cap,F00000JVJ0,Large Value,n/a,,01/01/05,2.61,4.22,3.32,2.27,3.85,1.62,3.99,3.84,-0.28,,
Anchor Capital LLC,Small Cap,F00000JVRH,Small-Cap Value,n/a,,01/01/05,3.71,1.04,7.45,13.78,0.04,3.16,3.66,-0.88,-1.3,,
Anchor Capital LLC,REIT,F00000XX8J,Real Estate,n/a,,01/01/16,,,,0.89,2.7,-0.14,2.3,0.66,-5.8,,
Anchor Capital LLC,SMID,F00000ML4H,Small Blend,n/a,,01/01/16,,,,12.69,0.63,2.9,3.86,-0.2,-1.68,,
Anchor Capital LLC,Select Dividend,F00000XS3J,Large Value,n/a,,01/01/13,5.29,4.11,0.88,3.07,5.02,2.42,3.15,4.8,-1.3,,
