SponsorFirmCode

1st Global
Adhesion
Allegis
Allen
American Port
Ameriprise
Ameritas
Assetmark
Asssetmark
AT Capital
Atria
AvisoWealth
AXA
Baird
Barclays
Bartlett
BB&T
Bel Air
Ben F. Edwards
BMO
BMO Global
BMO Nesbitt
Boston Common
Brinker
Cadaret Grant
Callan
Cambridge Invest
Canaccord
Cantella
Capital One
CapTrust
Cardinal
Carolina Inv
Cetera
CIBC
Citi
Citizens
Commerce
Commonwealth
Concord Equity
Credit Suisse
Cuna
Curian
Dain Raucher
Davidson
Deutsche
Dimeo
Edward Jones
Empire
Envestnet
Equitable
Essex
FEG
Fidelity
Fideltiy
Fiduciary Vest
Fifth Third
First Allied
First Republic
Folio
Foothill
Fortigent
Freestone
FT Direct
Fulton
Gallagher
Genworth
Golcman
Goldman
Green Square
H.D. Vest
Harbor Invest
HedgeCo
High Tower
Hiliard
Hilliard
HSBC
Int'l Assets
Invesco Direct
Janney
JOYN
JPM
Kayne Anderson
Key  Bank
Key Investment
Ladenburg
Lebenthal
Leumi
Level Four
Lincoln
Lincoln Fin
Lockwood
LPL
Lydian
McDonald
Merrill
Mid-Atl Capital
MML Investors
Mount Yale
MSWM
National Bank
Natixis
North Trust
Northern Trust
Northwest Mutual
Nuveen Direct
NYLIM
Oppenheimer
Other
Paladin
Parkland
Peoples
Pershing
PFPC
Placemark
PNC
Primerica
Prospera
Prudential
Raymond James
RBC
Regions
Reliance
Richardson
RMB
Royal Alliance
Royal Allliance
Royal Sec.
RVK
SagePoint
Sawtooth
Saxony
Schwab
Scotia
Securities Amer
SEI
Sigma
Signature
Smartleaf
SMArtx
Snowden
Sowell
State Street
Stephens
Stephenson Nat Bk
Stifel
Summit
SunTRust
Synovus
TD Amer
TD Ameritrade
Thrivent
Trade PMR
Tradewinds Glb Inv
UBS
UnionBanc
US Bancorp
US Bank
USCA Sec
Valmex
Vestmark
Viagem
Voya
Well Fargo
Wells
Wells Fargo
William Blair
Wood Gundy
WrapManager
Wunderlich
