11009,1,2017-09-30,Invesco,inve,Invesco International Core Equity ADR SMA,F00000U2LT,Dual Contract,Dual,EAFE,FB,0.30853931,0.00000000,0.00000000,0.00000000,NULL,-0.00725438,0.01884873,-0.00725438
11018,1,2017-09-30,Invesco,inve,Invesco International Core Equity ADR SMA,F00000U2LT,Dual Contract,Dual,EAFE,FB,0.23465542,0.00624385,-0.35189091,-0.34564706,NULL,NULL,NULL,-0.34564706
11021,1,2017-09-30,Invesco,inve,Invesco International Core Equity ADR SMA,F00000U2LT,Dual Contract,Dual,EAFE,FB,1.13041889,0.00000000,0.00000000,0.00000000,NULL,-0.03495463,0.06931039,-0.03495463
11040,1,2017-09-30,Invesco,inve,Invesco International Core Equity ADR SMA,F00000U2LT,Model Delivered,Model,EAFE,FB,2.62767900,0.00000000,0.00000000,0.00000000,NULL,-0.04094741,0.15989641,-0.04094741
11076,1,2017-09-30,Invesco,inve,Invesco International Core Equity ADR SMA,F00000U2LT,Model Delivered,Model,EAFE,FB,0.37948354,0.00000000,0.00000000,0.00000000,NULL,0.21735891,0.01635125,0.21735891
11081,1,2017-09-30,Invesco,inve,Invesco International Core Equity ADR SMA,F00000U2LT,Model Delivered,Model,EAFE,FB,0.51350289,0.00000000,-0.00172650,-0.00172650,NULL,NULL,NULL,-0.00172650
11091,1,2017-09-30,Invesco,inve,Invesco International Core Equity ADR SMA,F00000U2LT,Traditional SMA,Trad,EAFE,FB,1.85412827,0.02322861,-0.03582987,-0.01260126,NULL,NULL,NULL,-0.01260126
11224,1,2017-09-30,Invesco,inve,Invesco International Core Equity ADR SMA,F00000U2LT,Traditional SMA,Trad,EAFE,FB,0.21475104,0.00227949,-0.00301897,-0.00073948,NULL,NULL,NULL,-0.00073948
11231,1,2017-09-30,Invesco,inve,Invesco International Core Equity ADR SMA,F00000U2LT,Traditional SMA,Trad,EAFE,FB,12.47598505,0.26646851,-0.17807285,0.08839566,NULL,NULL,NULL,0.08839566
11249,1,2017-09-30,Invesco,inve,Invesco International Core Equity ADR SMA,F00000U2LT,Traditional SMA,Trad,EAFE,FB,20.39034000,0.52893346,-0.61887441,-0.08994095,NULL,NULL,NULL,-0.08994095
11305,1,2017-09-30,Lazard Asset Management LLC,laza,International Equity Select ADR,FOUSA08ZYD,Dual,Dual,Foreign Large Blend,FB,89.19000000,1.57600000,0.71900000,0.85700000,NULL,NULL,NULL,0.85700000
11306,1,2017-09-30,Lazard Asset Management LLC,laza,International Equity Select ADR,FOUSA08ZYD,Dual,Dual,Foreign Large Blend,FB,5.07800000,NULL,NULL,0.00000000,NULL,-0.01499855,0.28499855,-0.01499855
11307,1,2017-09-30,Lazard Asset Management LLC,laza,International Equity Select ADR,FOUSA08ZYD,Dual,Dual,Foreign Large Blend,FB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11308,1,2017-09-30,Lazard Asset Management LLC,laza,International Equity Select ADR,FOUSA08ZYD,Dual,Dual,Foreign Large Blend,FB,NULL,NULL,NULL,0.00000000,NULL,NULL,NULL,NULL
11309,1,2017-09-30,Lazard Asset Management LLC,laza,International Equity Select ADR,FOUSA08ZYD,Dual,Dual,Foreign Large Blend,FB,83.49500000,NULL,NULL,0.00000000,NULL,-0.14936280,4.68336280,-0.14936280
11310,1,2017-09-30,Lazard Asset Management LLC,laza,International Equity Select ADR,FOUSA08ZYD,Dual,Dual,Foreign Large Blend,FB,20.93600000,0.74900000,1.30300000,-0.55400000,NULL,NULL,NULL,-0.55400000
11311,1,2017-09-30,Lazard Asset Management LLC,laza,International Equity Select ADR,FOUSA08ZYD,Dual,Dual,Foreign Large Blend,FB,0.72700000,NULL,NULL,0.00000000,NULL,-0.00384998,0.04084998,-0.00384998
11312,1,2017-09-30,Lazard Asset Management LLC,laza,International Equity Select ADR,FOUSA08ZYD,Dual,Dual,Foreign Large Blend,FB,11.97700000,NULL,NULL,0.00000000,NULL,0.05328512,0.66971488,0.05328512
11313,1,2017-09-30,Lazard Asset Management LLC,laza,International Equity Select ADR,FOUSA08ZYD,Dual,Dual,Foreign Large Blend,FB,19.82700000,NULL,0.39600000,-0.39600000,NULL,NULL,NULL,-0.39600000
11314,1,2017-09-30,Lazard Asset Management LLC,laza,International Equity Select ADR,FOUSA08ZYD,Dual,Dual,Foreign Large Blend,FB,124.19700000,NULL,NULL,0.00000000,NULL,-0.33557816,6.96957816,-0.33557816
11315,1,2017-09-30,Lazard Asset Management LLC,laza,International Equity Select ADR,FOUSA08ZYD,Dual,Dual,Foreign Large Blend,FB,42.64500000,NULL,NULL,0.00000000,NULL,-0.12334207,2.39334207,-0.12334207
11316,1,2017-09-30,Lazard Asset Management LLC,laza,International Equity Select with EM ADR,FOUSA08ZYH,Dual,Dual,Foreign Large Blend,FB,38.35900000,1.12600000,NULL,1.12600000,NULL,NULL,NULL,1.12600000
11317,1,2017-09-30,Lazard Asset Management LLC,laza,International Equity Select with EM ADR,FOUSA08ZYH,Dual,Dual,Foreign Large Blend,FB,NULL,NULL,NULL,0.00000000,NULL,NULL,NULL,NULL
11318,1,2017-09-30,Lazard Asset Management LLC,laza,International Equity Select with EM ADR,FOUSA08ZYH,Dual,Dual,Foreign Large Blend,FB,10.41600000,NULL,NULL,0.00000000,NULL,-0.04341198,0.66641198,-0.04341198
11319,1,2017-09-30,Lazard Asset Management LLC,laza,International Equity Select with EM ADR,FOUSA08ZYH,Dual,Dual,Foreign Large Blend,FB,25.63800000,NULL,NULL,0.00000000,NULL,-0.27260133,1.64560133,-0.27260133
